label,message
ham,"Hi, how are you doing today?"
spam,Congratulations! You have won a free lottery. Call now!
ham,Are we meeting tomorrow for the project discussion?
spam,"Win cash prizes instantly, click the link now"
ham,Please send me the assignment notes
spam,Urgent! Your account has been selected for a prize
ham,Let's go for lunch after class
spam,Claim your free gift voucher today
ham,Can you call me later?
spam,Limited offer! Buy now and get 50 percent off
ham,Did you complete the homework?
spam,"You have won a brand new phone, click here"
ham,See you in the lab at 2 PM
spam,Act now! Your reward is waiting
ham,Thanks for your help yesterday
spam,Free entry in a weekly lucky draw
ham,Please review the attached document
spam,Get cheap loans approved instantly
ham,I will be late to the meeting
spam,Congratulations! You are selected as a winner
ham,Let's prepare for tomorrow's exam
spam,Earn money from home easily
ham,Call me when you are free
spam,Exclusive deal just for you
ham,Can you share the PPT?
spam,"Lowest prices guaranteed, shop now"
ham,Meeting postponed to next week
spam,"You won a cash reward, verify now"
ham,Please remind me about the deadline
spam,Urgent! Update your bank details now
